sku,week,week_start,week_end,n_days,actual,predicted,accuracy_pct
IC-1044359,8,2026-07-15,2026-07-21,7,78,120.1,36.7
IC-1053521,1,2026-05-27,2026-06-02,7,90,107.3,7.1
IC-1053521,2,2026-06-03,2026-06-09,7,13,145.9,-922.4
IC-1053521,3,2026-06-10,2026-06-16,7,117,91.7,-48.2
IC-1053521,4,2026-06-17,2026-06-23,7,384,117.6,27.7
IC-1053521,5,2026-06-24,2026-06-30,7,167,140.6,33.8
IC-1053521,6,2026-07-01,2026-07-07,7,111,157.2,17.0
IC-1053521,7,2026-07-08,2026-07-14,7,418,145.3,31.8
IC-1053521,8,2026-07-15,2026-07-21,7,254,131.3,1.8
IC-1053526,1,2026-05-27,2026-06-02,7,230,87.3,12.1
IC-1053526,2,2026-06-03,2026-06-09,7,86,107.6,-19.7
IC-1053526,3,2026-06-10,2026-06-16,7,14,75.9,-341.9
IC-1053526,4,2026-06-17,2026-06-23,7,304,110.9,15.2
IC-1053526,5,2026-06-24,2026-06-30,7,220,91.5,3.0
IC-1053526,6,2026-07-01,2026-07-07,7,146,131.1,37.3
IC-1053526,7,2026-07-08,2026-07-14,7,100,112.1,-26.0
IC-1053526,8,2026-07-15,2026-07-21,7,95,101.0,-6.5
IC-1055803,1,2026-05-27,2026-06-02,7,169,206.2,49.6
IC-1055803,2,2026-06-03,2026-06-09,7,302,286.3,74.4
IC-1055803,3,2026-06-10,2026-06-16,7,245,272.5,60.7
IC-1055803,4,2026-06-17,2026-06-23,7,221,269.8,68.9
IC-1055803,5,2026-06-24,2026-06-30,7,246,255.7,68.0
IC-1055803,6,2026-07-01,2026-07-07,7,364,326.7,69.2
IC-1055803,7,2026-07-08,2026-07-14,7,184,252.5,62.2
IC-1055803,8,2026-07-15,2026-07-21,7,145,224.3,18.0
IC-1057685,1,2026-05-27,2026-06-02,7,0,80.6,
IC-1057685,2,2026-06-03,2026-06-09,7,25,49.8,-33.7
IC-1057685,3,2026-06-10,2026-06-16,7,0,9.8,
IC-1057685,4,2026-06-17,2026-06-23,7,0,9.7,
IC-1057685,5,2026-06-24,2026-06-30,7,0,10.1,
IC-1057685,6,2026-07-01,2026-07-07,7,0,9.7,
IC-1057685,7,2026-07-08,2026-07-14,7,0,9.8,
