sku,product_id,channel,date,forecast_horizon_day,y_pred,as_of_date,model_version
IC-1020926,21790,naheed_web,2026-07-07,7,10.000202746770823,2026-06-30,lgbm_global_v1
IC-1020926,21790,naheed_web,2026-07-08,8,10.739336921681932,2026-06-30,lgbm_global_v1
IC-1020926,21790,naheed_web,2026-07-09,9,8.72629082569352,2026-06-30,lgbm_global_v1
IC-1020926,21790,naheed_web,2026-07-10,10,8.84215678548274,2026-06-30,lgbm_global_v1
IC-1020926,21790,naheed_web,2026-07-11,11,9.670464724981215,2026-06-30,lgbm_global_v1
IC-1020926,21790,naheed_web,2026-07-12,12,9.115273795909632,2026-06-30,lgbm_global_v1
IC-1020926,21790,naheed_web,2026-07-13,13,9.684800277283491,2026-06-30,lgbm_global_v1
IC-1020926,21790,naheed_web,2026-07-14,14,9.563651674467051,2026-06-30,lgbm_global_v1
IC-1032718,21142,naheed_web,2026-07-01,1,29.591835708128045,2026-06-30,lgbm_global_v1
IC-1032718,21142,naheed_web,2026-07-02,2,26.009161475362866,2026-06-30,lgbm_global_v1
IC-1032718,21142,naheed_web,2026-07-03,3,23.31533741824138,2026-06-30,lgbm_global_v1
IC-1032718,21142,naheed_web,2026-07-04,4,24.921614131944125,2026-06-30,lgbm_global_v1
IC-1032718,21142,naheed_web,2026-07-05,5,32.84281586874465,2026-06-30,lgbm_global_v1
IC-1032718,21142,naheed_web,2026-07-06,6,19.012886399741713,2026-06-30,lgbm_global_v1
IC-1032718,21142,naheed_web,2026-07-07,7,35.21614617445987,2026-06-30,lgbm_global_v1
IC-1032718,21142,naheed_web,2026-07-08,8,24.19076991326895,2026-06-30,lgbm_global_v1
IC-1032718,21142,naheed_web,2026-07-09,9,34.3487570209882,2026-06-30,lgbm_global_v1
IC-1032718,21142,naheed_web,2026-07-10,10,19.095711229648593,2026-06-30,lgbm_global_v1
IC-1032718,21142,naheed_web,2026-07-11,11,35.15202715644359,2026-06-30,lgbm_global_v1
IC-1032718,21142,naheed_web,2026-07-12,12,15.41266518927344,2026-06-30,lgbm_global_v1
IC-1032718,21142,naheed_web,2026-07-13,13,40.171490555927534,2026-06-30,lgbm_global_v1
IC-1032718,21142,naheed_web,2026-07-14,14,22.436842302020157,2026-06-30,lgbm_global_v1
IC-1037570,5085,naheed_web,2026-07-01,1,12.742673339539476,2026-06-30,lgbm_global_v1
IC-1037570,5085,naheed_web,2026-07-02,2,13.681362728710985,2026-06-30,lgbm_global_v1
IC-1037570,5085,naheed_web,2026-07-03,3,11.284865428866393,2026-06-30,lgbm_global_v1
IC-1037570,5085,naheed_web,2026-07-04,4,9.492156021634923,2026-06-30,lgbm_global_v1
IC-1037570,5085,naheed_web,2026-07-05,5,10.599069201942635,2026-06-30,lgbm_global_v1
IC-1037570,5085,naheed_web,2026-07-06,6,12.182415424842338,2026-06-30,lgbm_global_v1
IC-1037570,5085,naheed_web,2026-07-07,7,12.451107117673466,2026-06-30,lgbm_global_v1
IC-1037570,5085,naheed_web,2026-07-08,8,12.802261955463674,2026-06-30,lgbm_global_v1
IC-1037570,5085,naheed_web,2026-07-09,9,11.45884810090294,2026-06-30,lgbm_global_v1
IC-1037570,5085,naheed_web,2026-07-10,10,9.23202677704606,2026-06-30,lgbm_global_v1
IC-1037570,5085,naheed_web,2026-07-11,11,10.51375984936895,2026-06-30,lgbm_global_v1
IC-1037570,5085,naheed_web,2026-07-12,12,9.591421366729815,2026-06-30,lgbm_global_v1
IC-1037570,5085,naheed_web,2026-07-13,13,10.835432661939993,2026-06-30,lgbm_global_v1
IC-1037570,5085,naheed_web,2026-07-14,14,12.212937835449093,2026-06-30,lgbm_global_v1
IC-1042719,18836,naheed_web,2026-07-01,1,5.460000005309702,2026-06-30,lgbm_global_v1
