model,horizon,wape,mase,mae,rmse,bias,n_rows,n_skus,n_channels,cutoff,evaluation_type
lightgbm,7,0.6894358493406343,0.8689074928361215,9.057873849194333,16.124344854160164,-0.3470785090545956,210,30,1,2026-06-23,locked_holdout
lightgbm,14,0.7188107094769833,0.9883587128753754,10.462118731030474,19.745511201717154,-4.297606640243046,420,30,1,2026-06-16,locked_holdout
